Date : 2025-04-29 21:45:38
Directory : d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT
Total : 1270 files,  439356 codes, 44993 comments, 41954 blanks, all 526303 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        538 |    310,467 |     22,431 |     25,674 |    358,572 |
| C++              |        317 |    107,682 |     21,284 |      9,486 |    138,452 |
| Markdown         |        141 |     11,150 |          0 |      4,163 |     15,313 |
| Python           |        155 |      7,385 |        961 |      1,871 |     10,217 |
| Ruby             |          3 |        478 |         22 |         57 |        557 |
| reStructuredText |         55 |        440 |        146 |        407 |        993 |
| HTML             |          4 |        411 |         12 |         54 |        477 |
| YAML             |          7 |        245 |          7 |         28 |        280 |
| Makefile         |         22 |        242 |          1 |         59 |        302 |
| Shell Script     |         10 |        228 |         98 |         56 |        382 |
| CMake            |          4 |        146 |          0 |         35 |        181 |
| CSS              |          2 |        112 |          6 |         20 |        138 |
| Handlebars       |          1 |         93 |          0 |         14 |        107 |
| JSON             |          4 |         86 |          0 |          2 |         88 |
| JavaScript       |          2 |         82 |         16 |         21 |        119 |
| Properties       |          3 |         61 |          0 |          3 |         64 |
| pip requirements |          1 |         34 |          0 |          1 |         35 |
| Ini              |          1 |         14 |          9 |          3 |         26 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                    |      1,270 |    439,356 |     44,993 |     41,954 |    526,303 |
| . (Files)                                                                                                                                                                                            |          2 |         15 |          9 |          5 |         29 |
| boards                                                                                                                                                                                               |          1 |         39 |          0 |          1 |         40 |
| lib                                                                                                                                                                                                  |      1,228 |    400,835 |     43,398 |     40,899 |    485,132 |
| lib (Files)                                                                                                                                                                                          |          1 |        326 |        288 |        171 |        785 |
| lib\WiFiManager-master                                                                                                                                                                               |         40 |      6,246 |      1,891 |      1,381 |      9,518 |
| lib\WiFiManager-master (Files)                                                                                                                                                                       |         12 |      4,634 |      1,431 |        920 |      6,985 |
| lib\WiFiManager-master\.github                                                                                                                                                                       |          5 |        243 |          0 |         50 |        293 |
| lib\WiFiManager-master\.github (Files)                                                                                                                                                               |          2 |         40 |          0 |         31 |         71 |
| lib\WiFiManager-master\.github\workflows                                                                                                                                                             |          3 |        203 |          0 |         19 |        222 |
| lib\WiFiManager-master\examples                                                                                                                                                                      |         18 |        976 |        425 |        342 |      1,743 |
| lib\WiFiManager-master\examples\Advanced                                                                                                                                                             |          1 |         69 |         44 |         28 |        141 |
| lib\WiFiManager-master\examples\Basic                                                                                                                                                                |          1 |         15 |         16 |         11 |         42 |
| lib\WiFiManager-master\examples\NonBlocking                                                                                                                                                          |          3 |         98 |         28 |         25 |        151 |
| lib\WiFiManager-master\examples\NonBlocking\AutoConnectNonBlocking                                                                                                                                   |          1 |         17 |          6 |          5 |         28 |
| lib\WiFiManager-master\examples\NonBlocking\AutoConnectNonBlockingwParams                                                                                                                            |          1 |         25 |          6 |          6 |         37 |
| lib\WiFiManager-master\examples\NonBlocking\OnDemandNonBlocking                                                                                                                                      |          1 |         56 |         16 |         14 |         86 |
| lib\WiFiManager-master\examples\Old_examples                                                                                                                                                         |          4 |         75 |         73 |         50 |        198 |
| lib\WiFiManager-master\examples\Old_examples\AutoConnectWithFeedback                                                                                                                                 |          1 |         19 |         14 |         10 |         43 |
| lib\WiFiManager-master\examples\Old_examples\AutoConnectWithReset                                                                                                                                    |          1 |         19 |         12 |         13 |         44 |
| lib\WiFiManager-master\examples\Old_examples\AutoConnectWithStaticIP                                                                                                                                 |          1 |         22 |         32 |         18 |         72 |
| lib\WiFiManager-master\examples\Old_examples\AutoConnectWithTimeout                                                                                                                                  |          1 |         15 |         15 |          9 |         39 |
| lib\WiFiManager-master\examples\OnDemand                                                                                                                                                             |          2 |         55 |         24 |         21 |        100 |
| lib\WiFiManager-master\examples\OnDemand\OnDemandConfigPortal                                                                                                                                        |          1 |         22 |         15 |         11 |         48 |
| lib\WiFiManager-master\examples\OnDemand\OnDemandWebPortal                                                                                                                                           |          1 |         33 |          9 |         10 |         52 |
| lib\WiFiManager-master\examples\Parameters                                                                                                                                                           |          3 |        293 |         82 |         69 |        444 |
| lib\WiFiManager-master\examples\Parameters\LittleFS                                                                                                                                                  |          1 |         65 |          7 |          7 |         79 |
| lib\WiFiManager-master\examples\Parameters\SPIFFS                                                                                                                                                    |          2 |        228 |         75 |         62 |        365 |
| lib\WiFiManager-master\examples\Parameters\SPIFFS\AutoConnectWithFSParameters                                                                                                                        |          1 |        104 |         37 |         29 |        170 |
| lib\WiFiManager-master\examples\Parameters\SPIFFS\AutoConnectWithFSParametersAndCustomIP                                                                                                             |          1 |        124 |         38 |         33 |        195 |
| lib\WiFiManager-master\examples\ParamsChildClass                                                                                                                                                     |          1 |        107 |         10 |         27 |        144 |
| lib\WiFiManager-master\examples\Super                                                                                                                                                                |          1 |        210 |        141 |         94 |        445 |
| lib\WiFiManager-master\examples\Super\OnDemandConfigPortal                                                                                                                                           |          1 |        210 |        141 |         94 |        445 |
| lib\WiFiManager-master\examples\Tests                                                                                                                                                                |          1 |         34 |          6 |         11 |         51 |
| lib\WiFiManager-master\examples\Tests\wifi_softap                                                                                                                                                    |          1 |         34 |          6 |         11 |         51 |
| lib\WiFiManager-master\examples\Unique                                                                                                                                                               |          1 |         20 |          1 |          6 |         27 |
| lib\WiFiManager-master\examples\Unique\cb                                                                                                                                                            |          1 |         20 |          1 |          6 |         27 |
| lib\WiFiManager-master\extras                                                                                                                                                                        |          4 |        361 |         19 |         56 |        436 |
| lib\WiFiManager-master\travis                                                                                                                                                                        |          1 |         32 |         16 |         13 |         61 |
| lib\ch422g                                                                                                                                                                                           |          2 |         78 |         85 |         21 |        184 |
| lib\font                                                                                                                                                                                             |         10 |     10,159 |        935 |        684 |     11,778 |
| lib\gui_bmp                                                                                                                                                                                          |          2 |        131 |         53 |         27 |        211 |
| lib\gui_paint                                                                                                                                                                                        |          3 |        622 |        239 |        101 |        962 |
| lib\i2c                                                                                                                                                                                              |          2 |         48 |        120 |         26 |        194 |
| lib\image                                                                                                                                                                                            |          2 |     50,096 |         40 |          6 |     50,142 |
| lib\lvgl                                                                                                                                                                                             |      1,150 |    331,558 |     38,798 |     38,049 |    408,405 |
| lib\lvgl (Files)                                                                                                                                                                                     |         11 |        950 |        339 |        315 |      1,604 |
| lib\lvgl\demos                                                                                                                                                                                       |         82 |     27,151 |        838 |      1,647 |     29,636 |
| lib\lvgl\demos (Files)                                                                                                                                                                               |          3 |         94 |         19 |         46 |        159 |
| lib\lvgl\demos\benchmark                                                                                                                                                                             |         12 |      3,627 |        279 |        479 |      4,385 |
| lib\lvgl\demos\benchmark (Files)                                                                                                                                                                     |          3 |      1,027 |         93 |        267 |      1,387 |
| lib\lvgl\demos\benchmark\assets                                                                                                                                                                      |          9 |      2,600 |        186 |        212 |      2,998 |
| lib\lvgl\demos\keypad_encoder                                                                                                                                                                        |          3 |        174 |         47 |         64 |        285 |
| lib\lvgl\demos\music                                                                                                                                                                                 |         55 |     20,008 |        335 |        586 |     20,929 |
| lib\lvgl\demos\music (Files)                                                                                                                                                                         |          7 |      1,261 |        171 |        264 |      1,696 |
| lib\lvgl\demos\music\assets                                                                                                                                                                          |         48 |     18,747 |        164 |        322 |     19,233 |
| lib\lvgl\demos\stress                                                                                                                                                                                |          3 |        379 |         60 |         94 |        533 |
| lib\lvgl\demos\widgets                                                                                                                                                                               |          6 |      2,869 |         98 |        378 |      3,345 |
| lib\lvgl\demos\widgets (Files)                                                                                                                                                                       |          3 |      1,776 |         86 |        357 |      2,219 |
| lib\lvgl\demos\widgets\assets                                                                                                                                                                        |          3 |      1,093 |         12 |         21 |      1,126 |
| lib\lvgl\docs                                                                                                                                                                                        |        128 |     10,185 |        123 |      3,772 |     14,080 |
| lib\lvgl\docs (Files)                                                                                                                                                                                |         10 |      2,511 |        108 |        521 |      3,140 |
| lib\lvgl\docs\_ext                                                                                                                                                                                   |          1 |         80 |          0 |         19 |         99 |
| lib\lvgl\docs\_static                                                                                                                                                                                |          3 |        153 |         14 |         29 |        196 |
| lib\lvgl\docs\_static\css                                                                                                                                                                            |          2 |        112 |          6 |         20 |        138 |
| lib\lvgl\docs\_static\js                                                                                                                                                                             |          1 |         41 |          8 |          9 |         58 |
| lib\lvgl\docs\_templates                                                                                                                                                                             |          2 |        103 |          1 |         11 |        115 |
| lib\lvgl\docs\get-started                                                                                                                                                                            |         19 |        946 |          0 |        372 |      1,318 |
| lib\lvgl\docs\get-started (Files)                                                                                                                                                                    |          2 |        218 |          0 |         77 |        295 |
| lib\lvgl\docs\get-started\bindings                                                                                                                                                                   |          3 |         71 |          0 |         40 |        111 |
| lib\lvgl\docs\get-started\os                                                                                                                                                                         |          5 |        114 |          0 |         53 |        167 |
| lib\lvgl\docs\get-started\platforms                                                                                                                                                                  |          9 |        543 |          0 |        202 |        745 |
| lib\lvgl\docs\intro                                                                                                                                                                                  |          1 |        169 |          0 |         47 |        216 |
| lib\lvgl\docs\layouts                                                                                                                                                                                |          3 |        156 |          0 |         90 |        246 |
| lib\lvgl\docs\libs                                                                                                                                                                                   |         11 |        330 |          0 |        186 |        516 |
| lib\lvgl\docs\others                                                                                                                                                                                 |          8 |        339 |          0 |        189 |        528 |
| lib\lvgl\docs\overview                                                                                                                                                                               |         24 |      2,871 |          0 |      1,017 |      3,888 |
| lib\lvgl\docs\overview (Files)                                                                                                                                                                       |         18 |      2,838 |          0 |        980 |      3,818 |
| lib\lvgl\docs\overview\renderers                                                                                                                                                                     |          6 |         33 |          0 |         37 |         70 |
| lib\lvgl\docs\porting                                                                                                                                                                                |         10 |        695 |          0 |        247 |        942 |
| lib\lvgl\docs\widgets                                                                                                                                                                                |         36 |      1,832 |          0 |      1,044 |      2,876 |
| lib\lvgl\docs\widgets (Files)                                                                                                                                                                        |          2 |        143 |          0 |         70 |        213 |
| lib\lvgl\docs\widgets\core                                                                                                                                                                           |         16 |        842 |          0 |        480 |      1,322 |
| lib\lvgl\docs\widgets\extra                                                                                                                                                                          |         18 |        847 |          0 |        494 |      1,341 |
| lib\lvgl\env_support                                                                                                                                                                                 |         15 |        933 |        373 |        345 |      1,651 |
| lib\lvgl\env_support\cmake                                                                                                                                                                           |          4 |        146 |          0 |         35 |        181 |
| lib\lvgl\env_support\cmsis-pack                                                                                                                                                                      |          3 |        601 |        311 |        240 |      1,152 |
| lib\lvgl\env_support\rt-thread                                                                                                                                                                       |          7 |        184 |         62 |         69 |        315 |
| lib\lvgl\env_support\rt-thread (Files)                                                                                                                                                               |          3 |        153 |         43 |         52 |        248 |
| lib\lvgl\env_support\rt-thread\squareline                                                                                                                                                            |          4 |         31 |         19 |         17 |         67 |
| lib\lvgl\env_support\rt-thread\squareline (Files)                                                                                                                                                    |          3 |         28 |         10 |         13 |         51 |
| lib\lvgl\env_support\rt-thread\squareline\ui                                                                                                                                                         |          1 |          3 |          9 |          4 |         16 |
| lib\lvgl\env_support\rt-thread\squareline\ui\lvgl                                                                                                                                                    |          1 |          3 |          9 |          4 |         16 |
| lib\lvgl\env_support\zephyr                                                                                                                                                                          |          1 |          2 |          0 |          1 |          3 |
| lib\lvgl\scripts                                                                                                                                                                                     |         19 |        982 |        139 |        336 |      1,457 |
| lib\lvgl\scripts (Files)                                                                                                                                                                             |         14 |        747 |        108 |        248 |      1,103 |
| lib\lvgl\scripts\built_in_font                                                                                                                                                                       |          2 |        109 |          4 |         39 |        152 |
| lib\lvgl\scripts\release                                                                                                                                                                             |          3 |        126 |         27 |         49 |        202 |
| lib\lvgl\src                                                                                                                                                                                         |        849 |    270,423 |     35,845 |     29,865 |    336,133 |
| lib\lvgl\src (Files)                                                                                                                                                                                 |          4 |      2,237 |        377 |        232 |      2,846 |
| lib\lvgl\src\core                                                                                                                                                                                    |         31 |      9,150 |      3,020 |      2,208 |     14,378 |
| lib\lvgl\src\demos                                                                                                                                                                                   |         82 |     27,151 |        838 |      1,647 |     29,636 |
| lib\lvgl\src\demos (Files)                                                                                                                                                                           |          3 |         94 |         19 |         46 |        159 |
| lib\lvgl\src\demos\benchmark                                                                                                                                                                         |         12 |      3,627 |        279 |        479 |      4,385 |
| lib\lvgl\src\demos\benchmark (Files)                                                                                                                                                                 |          3 |      1,027 |         93 |        267 |      1,387 |
| lib\lvgl\src\demos\benchmark\assets                                                                                                                                                                  |          9 |      2,600 |        186 |        212 |      2,998 |
| lib\lvgl\src\demos\keypad_encoder                                                                                                                                                                    |          3 |        174 |         47 |         64 |        285 |
| lib\lvgl\src\demos\music                                                                                                                                                                             |         55 |     20,008 |        335 |        586 |     20,929 |
| lib\lvgl\src\demos\music (Files)                                                                                                                                                                     |          7 |      1,261 |        171 |        264 |      1,696 |
| lib\lvgl\src\demos\music\assets                                                                                                                                                                      |         48 |     18,747 |        164 |        322 |     19,233 |
| lib\lvgl\src\demos\stress                                                                                                                                                                            |          3 |        379 |         60 |         94 |        533 |
| lib\lvgl\src\demos\widgets                                                                                                                                                                           |          6 |      2,869 |         98 |        378 |      3,345 |
| lib\lvgl\src\demos\widgets (Files)                                                                                                                                                                   |          3 |      1,776 |         86 |        357 |      2,219 |
| lib\lvgl\src\demos\widgets\assets                                                                                                                                                                    |          3 |      1,093 |         12 |         21 |      1,126 |
| lib\lvgl\src\draw                                                                                                                                                                                    |        108 |     16,521 |      5,356 |      3,948 |     25,825 |
| lib\lvgl\src\draw (Files)                                                                                                                                                                            |         27 |      3,496 |      1,652 |        905 |      6,053 |
| lib\lvgl\src\draw\arm2d                                                                                                                                                                              |          3 |      1,321 |        119 |        184 |      1,624 |
| lib\lvgl\src\draw\nxp                                                                                                                                                                                |         25 |      2,642 |      1,748 |        876 |      5,266 |
| lib\lvgl\src\draw\nxp (Files)                                                                                                                                                                        |          1 |          5 |          0 |          3 |          8 |
| lib\lvgl\src\draw\nxp\pxp                                                                                                                                                                            |          9 |        792 |        582 |        271 |      1,645 |
| lib\lvgl\src\draw\nxp\vglite                                                                                                                                                                         |         15 |      1,845 |      1,166 |        602 |      3,613 |
| lib\lvgl\src\draw\renesas                                                                                                                                                                            |          4 |        832 |         88 |        181 |      1,101 |
| lib\lvgl\src\draw\sdl                                                                                                                                                                                |         26 |      2,881 |        776 |        740 |      4,397 |
| lib\lvgl\src\draw\stm32_dma2d                                                                                                                                                                        |          3 |        581 |        162 |        120 |        863 |
| lib\lvgl\src\draw\sw                                                                                                                                                                                 |         17 |      4,588 |        748 |        871 |      6,207 |
| lib\lvgl\src\draw\swm341_dma2d                                                                                                                                                                       |          3 |        180 |         63 |         71 |        314 |
| lib\lvgl\src\examples                                                                                                                                                                                |        393 |     18,475 |      2,636 |      3,768 |     24,879 |
| lib\lvgl\src\examples (Files)                                                                                                                                                                        |          4 |         26 |         21 |         16 |         63 |
| lib\lvgl\src\examples\anim                                                                                                                                                                           |         10 |        640 |         72 |        157 |        869 |
| lib\lvgl\src\examples\arduino                                                                                                                                                                        |          1 |         81 |         29 |         31 |        141 |
| lib\lvgl\src\examples\arduino\LVGL_Arduino                                                                                                                                                           |          1 |         81 |         29 |         31 |        141 |
| lib\lvgl\src\examples\assets                                                                                                                                                                         |         16 |      5,023 |         54 |        132 |      5,209 |
| lib\lvgl\src\examples\assets (Files)                                                                                                                                                                 |         15 |      4,705 |         50 |        129 |      4,884 |
| lib\lvgl\src\examples\assets\emoji                                                                                                                                                                   |          1 |        318 |          4 |          3 |        325 |
| lib\lvgl\src\examples\event                                                                                                                                                                          |          9 |        214 |         49 |         71 |        334 |
| lib\lvgl\src\examples\get_started                                                                                                                                                                    |          8 |        189 |         69 |         71 |        329 |
| lib\lvgl\src\examples\layouts                                                                                                                                                                        |         29 |        659 |        205 |        249 |      1,113 |
| lib\lvgl\src\examples\layouts (Files)                                                                                                                                                                |          1 |         11 |         19 |         10 |         40 |
| lib\lvgl\src\examples\layouts\flex                                                                                                                                                                   |         14 |        284 |         71 |        108 |        463 |
| lib\lvgl\src\examples\layouts\grid                                                                                                                                                                   |         14 |        364 |        115 |        131 |        610 |
| lib\lvgl\src\examples\libs                                                                                                                                                                           |         42 |      3,340 |        272 |        237 |      3,849 |
| lib\lvgl\src\examples\libs (Files)                                                                                                                                                                   |          1 |         17 |         19 |         10 |         46 |
| lib\lvgl\src\examples\libs\bmp                                                                                                                                                                       |          4 |         34 |         27 |         21 |         82 |
| lib\lvgl\src\examples\libs\ffmpeg                                                                                                                                                                    |          4 |         55 |         33 |         27 |        115 |
| lib\lvgl\src\examples\libs\freetype                                                                                                                                                                  |          4 |         60 |         32 |         24 |        116 |
| lib\lvgl\src\examples\libs\gif                                                                                                                                                                       |          6 |      2,277 |         30 |         30 |      2,337 |
| lib\lvgl\src\examples\libs\png                                                                                                                                                                       |          6 |        734 |         28 |         32 |        794 |
| lib\lvgl\src\examples\libs\qrcode                                                                                                                                                                    |          4 |         37 |         28 |         30 |         95 |
| lib\lvgl\src\examples\libs\rlottie                                                                                                                                                                   |          9 |         96 |         48 |         42 |        186 |
| lib\lvgl\src\examples\libs\sjpg                                                                                                                                                                      |          4 |         30 |         27 |         21 |         78 |
| lib\lvgl\src\examples\others                                                                                                                                                                         |         32 |      1,032 |        271 |        337 |      1,640 |
| lib\lvgl\src\examples\others (Files)                                                                                                                                                                 |          1 |         16 |         19 |         10 |         45 |
| lib\lvgl\src\examples\others\fragment                                                                                                                                                                |          4 |        155 |         30 |         58 |        243 |
| lib\lvgl\src\examples\others\gridnav                                                                                                                                                                 |          6 |        202 |         55 |         71 |        328 |
| lib\lvgl\src\examples\others\ime                                                                                                                                                                     |          4 |        103 |         31 |         35 |        169 |
| lib\lvgl\src\examples\others\imgfont                                                                                                                                                                 |          3 |         55 |         23 |         23 |        101 |
| lib\lvgl\src\examples\others\monkey                                                                                                                                                                  |          5 |         76 |         30 |         33 |        139 |
| lib\lvgl\src\examples\others\msg                                                                                                                                                                     |          5 |        314 |         53 |         69 |        436 |
| lib\lvgl\src\examples\others\snapshot                                                                                                                                                                |          4 |        111 |         30 |         38 |        179 |
| lib\lvgl\src\examples\porting                                                                                                                                                                        |          6 |        399 |        424 |        210 |      1,033 |
